n,type,avg_time_micro
38800,random,6421.2
38800,reversed,3758.4
38800,nearly,4061.2
38900,random,6623.2
38900,reversed,3808.4
38900,nearly,4048
39000,random,6547.2
39000,reversed,3637.4
39000,nearly,4017
39100,random,6547
39100,reversed,3660.2
39100,nearly,3927.6
39200,random,6535.6
39200,reversed,3628.2
39200,nearly,3809.6
39300,random,6565.4
39300,reversed,3623.2
39300,nearly,3793.4
39400,random,6640.6
39400,reversed,3649.6
39400,nearly,3800
39500,random,6707.2
39500,reversed,3743.4
39500,nearly,4006
39600,random,6529.2
39600,reversed,3829.4
39600,nearly,4082
39700,random,6571.2
39700,reversed,3782.4
39700,nearly,4026.4
39800,random,6616
39800,reversed,3755.4
39800,nearly,4002.4
39900,random,6653.8
39900,reversed,3680.4
39900,nearly,4010.8
40000,random,6652.2
40000,reversed,3748.2
40000,nearly,4024.4
40100,random,6751
40100,reversed,3739
40100,nearly,3982
40200,random,6766
40200,reversed,3746
40200,nearly,4001.4
40300,random,6690.2
40300,reversed,3753.8
40300,nearly,4032.4
40400,random,6785.4
40400,reversed,3954
40400,nearly,3898.2
40500,random,6789.6
40500,reversed,3824.2
40500,nearly,3895
40600,random,6735.2
40600,reversed,3785
40600,nearly,4144.4
40700,random,6777.4
40700,reversed,3803.8
40700,nearly,4116.2
40800,random,6836
40800,reversed,3756.4
40800,nearly,3950.4
40900,random,6806.8
40900,reversed,3824.6
40900,nearly,4004
41000,random,6810.8
41000,reversed,3764.8
41000,nearly,4082.2
41100,random,6840
41100,reversed,3924
41100,nearly,4053.4
41200,random,6838.4
41200,reversed,3878.2
41200,nearly,3946.4
41300,random,6888.2
41300,reversed,3969
41300,nearly,4036
41400,random,6950.4
41400,reversed,3862.2
41400,nearly,4040
41500,random,6988.4
41500,reversed,3875.6
41500,nearly,4090.4
41600,random,6996.6
41600,reversed,4022.8
41600,nearly,4205.6
41700,random,6880
41700,reversed,4005
41700,nearly,4034.2
41800,random,7032.8
41800,reversed,3938
41800,nearly,4253
41900,random,6870.4
41900,reversed,3904.4
41900,nearly,4271.2
42000,random,6989.6
42000,reversed,4058.8
42000,nearly,4331
